Team,TotalPoints,Racers,Races
SPRME,36677477.42935422,49,254767
P1RE,21696573.93281921,41,158195
TVX,20511646.022481695,50,147980
RR,18665571.752748396,32,127093
PR2W,17049949.55837256,50,120614
ECS,15656941.010677902,17,106089
N8TE,15533783.903661141,42,110859
CAM0,14163584.827230416,50,99528
ZL,13288330.21420745,36,94321
NTPD1,13128317.828694459,50,95620
PSR,13027349.302867077,47,95246
IR,12885977.787920851,47,95712
CZBZ,12402781.75200627,44,89504
TXT,12201748.385396948,48,87118
SSH,11637586.739478635,39,82867
NCT,11127391.25755249,46,80761
LXW,10697373.245119875,47,75482
WP,10204965.976924822,50,71250
FFS,9386934.271553997,47,68660
BEEHVE,9230452.4488231,44,68974
S0RC,7560204.504835269,46,52917
TCHR,6674303.478454804,30,50173
CHONT,6294354.297198741,7,39384
NZV,5741996.585706327,42,37012
CR7LEG,5478245.293646018,14,31240
COMP5,5244162.374922575,35,37576
LEGNDS,5132202.523252921,42,36898
QC,5086258.084872607,2,37625
RFTP,5083780.2561336765,36,41461
4CU,5061268.937111305,40,30565
FASZ,4874315.124569515,23,34930
WD5,4821078.005062221,19,34693
NTO,4666880.417146314,41,36888
TFV,4565623.020417522,34,30831
LOVGOD,4514957.5338456,42,32254
NVSEAL,4444735.709656578,41,33632
TVM,4417906.9459114885,37,32423
DIV1,4374299.000691503,45,30345
0CE8N,4345409.867846917,45,33357
ZTAGZ,3953930.9931637067,40,27086
DKC,3887257.840858587,45,30219
NXC,3806376.9416227094,28,25385
RI5E,3696682.7806433477,44,28202
42712,3653754.136089688,24,27295
WPMWPM,3593377.3239540006,29,28951
RZ,3544399.692807374,43,28043
LLJ4R,3534907.0232530455,39,29056
ERC,3519125.043262862,23,24407
AMPX,3484026.5277265296,45,26527
MTC2,3469825.3459131117,26,24428
T2V,3459354.263490321,10,23703
FTHM,3319129.0250820178,43,24367
190IQ,3217475.3993804054,4,22972
ZH,3102690.7437809967,44,22890
DLX,3046660.8707937114,45,25078
USAAT,2973112.722884386,43,23094
NHS,2959965.71734619,49,23153
NTP444,2847723.0203931495,33,23267
MEYBO,2830678.6642850046,27,20397
HFE,2828432.7250547973,20,18940
NS7,2696692.5772874835,40,19889
VG,2686678.23091898,33,19869
MMM0,2666494.208469097,26,15266
F0J,2644270.8509938614,39,19293
L3JENS,2632779.8710913784,18,17659
VKS,2589061.3715712465,40,19505
T3X5,2536978.659401963,28,17711
T0WER,2508003.6725640544,39,16727
HYP3Z,2487374.645661336,47,20550
DANATK,2457584.286221136,42,20835
SAIL,2448944.0812068223,38,19475
NTPTS,2438650.8585897353,42,18505
50I,2425182.8970903596,34,17452
TWO,2380651.5275600078,32,16791
FAM3,2324163.534292647,42,18274
ZSH,2294649.4363406235,37,18992
FERAL,2286600.4654729236,46,17013
A3,2229765.0260266345,16,16460
XLUVX,2207267.7172318534,47,17214
AL3,2159316.386102281,31,16393
BRAVE,2151519.379222964,38,16314
1STRED,2121916.2272638585,43,16613
OVCR,2092392.8322585085,33,18084
HELIUM,2071637.7381938566,50,17487
C0NQUE,2070369.0548730076,31,14999
BE3ST1,2032492.300941293,44,16698
P20W,1997539.7417825337,49,14250
CAT4,1992987.2391424591,43,17088
BKYS,1987015.3179521384,28,14732
GLXM,1936420.9425009633,8,12985
EXTRME,1916412.3282588278,39,12571
RL,1900700.728672648,21,13784
RVNT,1813831.504997507,20,15236
4EP,1783747.5919907033,43,13337
DDFR,1749575.6980083555,28,11252
LE4GUE,1716387.753497625,45,13637
911000,1693381.3326168412,34,13831
BEGO0D,1692759.9339061687,47,12578
LTC,1679537.8986941527,25,10636
ASPN,1647692.0819963864,41,13596
SSNAKS,1599548.0468734456,39,13341
BPR,1571534.7757842005,29,11464
NGREEN,1564841.9735643913,39,12721
TRUST,1549915.3985865524,21,11926
TNGN,1502804.513920767,42,10547
B0MBA,1500519.2257805776,37,10525
RL1,1494081.0140864109,40,10846
SZM,1486621.497811152,45,12845
XWX,1470549.2755022214,45,12004
XMVP,1464419.0282842966,30,11673
DUCCK,1442593.2240818667,46,11126
VTU,1439820.6631292086,17,10106
ZER0SE,1387183.739969284,44,10154
ALFJ,1380624.6836338986,46,11100
ESTER,1345926.4807279226,24,10001
H0LY,1308912.0284111209,33,9748
SNTL,1306328.9825769425,27,9175
