Username,ProfileLink,DisplayName,Title,CarID,CarHueAngle,Speed,Races,Points,Accuracy,Team
c8c7468ac7ba5f4db104450dd0348343,https://www.nitrotype.com/racer/c8c7468ac7ba5f4db104450dd0348343,GetDown,Endurance Racer,55,0,52.500399680255796,301,35880.16147169964,94.41822223575626,BPR
b1c98942ef5ce83b76cd3f40deca2adc,https://www.nitrotype.com/racer/b1c98942ef5ce83b76cd3f40deca2adc,Kepzii,Spring-a-round,316,0,86.37697416974169,268,35861.17151094476,93.45048906022515,TOPGOD
goldeninsanetyper99,https://www.nitrotype.com/racer/goldeninsanetyper99,goldeninsanetyper99,Spring-a-round,264,0,103.874389847055,242,35860.65649866151,97.53012161425538,NTWA
bc57e900470f6613c492225d29b63045,https://www.nitrotype.com/racer/bc57e900470f6613c492225d29b63045,GalactiCat,I Love Cats,165,160,68.85483184333759,275,35856.730417290935,96.99517744528255,RI5E
6046afe3159cf1640176c3a7e011516f,https://www.nitrotype.com/racer/6046afe3159cf1640176c3a7e011516f,big Chungus 1,I Love Nitros,259,0,24.403828715365243,379,35826.87063189937,84.24990091161317,MMM0
bae5f176a5d1945a2b1ead081cc3823f,https://www.nitrotype.com/racer/bae5f176a5d1945a2b1ead081cc3823f,cryyptz,Filthy Rich,33,0,56.09714061887975,298,35616.63615822279,93.33873310244665,NTO
6c7cd7212202c730965755103be463c4,https://www.nitrotype.com/racer/6c7cd7212202c730965755103be463c4,Daequan J,Pro Pacer,157,0,62.93432400159215,284,35590.17759451403,95.32230317749443,1STRED
d8dd32934267c63800c3353f0357f5fb,https://www.nitrotype.com/racer/d8dd32934267c63800c3353f0357f5fb,Typhoon,Turboducken,310,0,72.04952538175814,277,35576.668304160405,94.42076803226101,HYP3Z
67a2430cdb827c8978f89a3a6683cd9b,https://www.nitrotype.com/racer/67a2430cdb827c8978f89a3a6683cd9b,korean man,Oops!,86,0,66.38669438669439,284,35556.25351147696,93.99724414380559,NCT
31e7df8c25988ef6861ab035321d898c,https://www.nitrotype.com/racer/31e7df8c25988ef6861ab035321d898c,STEPHIE,Spring-a-round,162,0,53.40947922761849,305,35555.951194067,92.00673117374842,DUCCK
imdabest133,https://www.nitrotype.com/racer/imdabest133,JeanetteTheChipette,Master Motorist,260,240,107.4778292521509,239,35542.864825331606,96.7321227347459,D4RKER
6c89f912be12dc48cfccd86d682bca1d,https://www.nitrotype.com/racer/6c89f912be12dc48cfccd86d682bca1d,C00LKIDSHAC33R,Ace Accelerator,316,260,36.07189216175737,314,35475.124295121845,95.71499750871948,HAC33R
5e8876b958412154e2061e13f2ccef67,https://www.nitrotype.com/racer/5e8876b958412154e2061e13f2ccef67,Wild Snow,Ace Accelerator,230,200,52.12409240924092,350,35468.12053710689,80.3869921993719,OVCR
trulyv1bin,https://www.nitrotype.com/racer/trulyv1bin,trulyv1bin,Ace Accelerator,46,0,83.53320514716756,266,35456.00683130742,94.02303246642869,NVSEAL
2f589aa0aefd1ffc4a029e850c4542fd,https://www.nitrotype.com/racer/2f589aa0aefd1ffc4a029e850c4542fd,gogogagadiddy,♪ Rockin’ Around the XMaxx Tree ♪,316,80,101.35933503836317,248,35334.01418802818,94.55546724196662,NGREEN
d371ebc42527c17150ccd4d376ce89ff,https://www.nitrotype.com/racer/d371ebc42527c17150ccd4d376ce89ff,max aura,Original Gangster,49,180,69.24278438030561,277,35317.91101823612,94.71116123970185,190IQ
