Team,TotalPoints,Racers,Races
SPRME,39501136.84583386,50,274791
P1RE,22205212.511603203,45,161926
TVX,21440456.00259595,49,154567
RR,18671655.3367399,28,127149
PR2W,17673764.118752856,49,124920
ECS,17468857.815826856,23,118883
N8TE,16269385.896193497,43,116073
CAM0,15373407.24897306,50,108238
ZL,14483396.663973657,40,102904
IR,13840762.355511196,46,102871
NTPD1,13558468.38848039,50,98764
PSR,13423301.012007745,43,98048
CZBZ,13123739.853608696,47,94681
TXT,12799001.361175468,48,91578
SSH,11944256.96489572,37,85034
NCT,11513621.599535076,45,83490
LXW,11131881.192648312,49,78472
WP,10919674.748506023,50,76151
BEEHVE,9627102.180991316,41,71944
FFS,9601021.438568657,45,70217
S0RC,7819960.535395389,46,54852
TCHR,6802486.029244866,27,51174
CHONT,6295346.7825038675,6,39392
NZV,5969711.718813116,41,38450
CR7LEG,5810149.7924934365,12,33093
QC,5361984.1565372385,2,39625
COMP5,5324255.312419743,33,38109
LEGNDS,5323444.1116112,44,38334
RFTP,5211304.616756126,33,42533
4CU,5062276.276390048,39,30576
WD5,5011367.148837659,20,36025
NTO,4988367.520335954,36,39150
FASZ,4928299.703003795,22,35332
TFV,4898174.986631268,34,32984
NVSEAL,4875429.648138006,49,36887
DIV1,4656698.782153081,47,32175
LOVGOD,4615000.0249822065,42,33053
TVM,4549509.5427075,37,33320
0CE8N,4467377.519467171,45,34371
NXC,4056861.259294044,27,27140
DKC,4003294.998464258,44,31096
ZTAGZ,3996086.0172271724,39,27428
42712,3945832.1402406297,25,29534
RI5E,3943511.6881575002,45,30023
WPMWPM,3670280.7873964757,27,29587
RZ,3635867.812284835,48,28815
AMPX,3584514.868885334,45,27310
LLJ4R,3572751.374645677,38,29408
ERC,3540654.593191932,23,24524
FTHM,3494713.4120846367,48,25726
ZH,3238493.5202677753,38,23884
190IQ,3227617.7303032186,4,23050
USAAT,3136915.042097981,40,24357
DLX,3116276.3625619444,43,25675
NHS,2998151.7110433155,50,23452
NTP444,2913718.4344058125,32,23820
MEYBO,2905706.817054637,27,20901
VG,2865684.0298242797,35,21062
HFE,2843257.0328452536,20,19050
MMM0,2796284.230455171,23,16092
L3JENS,2786735.653151692,15,18738
NS7,2784571.120787311,39,20520
F0J,2712914.4811067064,39,19844
NTPTS,2666252.9817381403,41,20176
VKS,2650031.843439914,41,19975
T3X5,2628303.1384859732,30,18403
T0WER,2587008.979631625,39,17240
SAIL,2566736.8238743516,41,20439
DANATK,2564916.6576937917,44,21735
HYP3Z,2553610.098763203,45,21088
50I,2481103.1530670114,31,17910
FAM3,2476399.8655146095,30,19433
TWO,2432421.8956545144,32,17164
A3,2416087.509747658,18,17751
RL,2374885.6294273995,30,17289
ZSH,2344925.682114406,37,19398
FERAL,2316445.0826304355,45,17255
