Team,TotalPoints,Racers,Races
SPRME,44270226.178123735,49,308474
P1RE,23698500.9971034,44,172981
TVX,22778017.152755648,50,164227
PR2W,20141123.654779445,49,141981
ECS,19890292.934600133,29,136047
RR,19017618.80342327,30,129556
N8TE,18270903.10654101,46,129556
CAM0,17253582.42323922,49,121646
IR,16400923.796468658,44,121758
ZL,15116434.641138313,37,107652
TXT,14895631.512127606,50,107035
PSR,14889557.375417894,46,108677
NTPD1,14837134.410390517,48,108195
CZBZ,14444151.87703591,47,104622
SSH,13125531.538296262,38,93012
NCT,11949343.816152867,44,86747
WP,11680475.999348871,49,81561
LXW,11484266.372370856,6,81094
BEEHVE,10652680.05036824,43,79619
FFS,10471956.848579902,47,76678
S0RC,8591466.716219617,42,60504
TCHR,7281604.68217351,34,55016
CR7LEG,6623556.935144671,13,37611
NZV,6614636.889378673,43,42769
CHONT,6302425.149089097,5,39453
WD5,5935791.222824003,28,42832
LEGNDS,5864445.976575967,42,42578
NVSEAL,5724080.145854983,47,43262
COMP5,5691925.740625188,35,40685
RFTP,5614583.696144084,35,45694
QC,5525493.274344922,2,40844
TFV,5518108.85588874,37,37065
DIV1,5492840.086476888,36,37818
NTO,5404719.845314772,48,42305
LOVGOD,5123658.6907419665,37,36486
4CU,5086599.030006086,35,30782
FASZ,5061301.452723585,21,36274
TVM,4923397.202044998,36,35962
NXC,4873951.845109864,30,32542
0CE8N,4850352.425059984,47,37490
42712,4738742.252473207,35,35594
FTHM,4404845.33217476,38,32554
RI5E,4330219.524716756,48,33034
DKC,4319198.30317078,33,33614
ZTAGZ,4119652.5480836444,39,28409
AMPX,4025356.8131877836,43,30699
RZ,3903477.0336122443,42,30872
ZH,3858534.753968,44,28285
WPMWPM,3768577.5474674185,24,30410
LLJ4R,3739355.35804771,29,30834
ERC,3590115.5431549386,24,24850
VG,3541749.0489605656,48,25782
USAAT,3507661.74263622,43,27334
L3JENS,3444477.4844958805,10,23346
NTPTS,3380050.290159224,36,26031
DLX,3316777.8150354545,47,27351
NHS,3246585.510030148,49,25380
190IQ,3233882.688702284,4,23098
MMM0,3221112.871363885,19,18820
NTP444,3193058.3730645697,47,26116
BKYS,3166074.8138742996,34,23492
MEYBO,3116305.241503728,26,22351
RL,3103927.6790173966,9,22677
NS7,3075713.689329963,44,22665
A3,2944677.1734512844,19,21555
T3X5,2935802.6429305524,13,20661
HFE,2905467.9503702438,20,19528
F0J,2882227.1297634696,37,21189
HYP3Z,2797942.978241493,40,23054
SAIL,2764176.1512347125,39,21982
FAM3,2745434.8515717583,31,21517
CAT4,2688441.593212224,45,22852
T0WER,2683626.999451063,40,17900
50I,2632840.3262645705,28,19099
ZSH,2628375.718367892,38,21657
XLUVX,2603689.6699957266,45,20617
