Team,TotalPoints,Racers,Races
SPRME,43262435.587078266,48,301292
P1RE,23454745.613338277,48,171117
TVX,22663959.759554226,50,163427
PR2W,19498302.946401376,50,137592
ECS,19475312.919092976,28,133153
RR,18897106.842400596,30,128689
N8TE,17715048.865300357,45,125885
CAM0,16748304.011030171,50,118228
IR,15776215.942467514,45,117336
ZL,14998096.204415668,37,106739
NTPD1,14607195.124855397,49,106462
PSR,14603992.286934337,47,106651
TXT,14255478.950787041,49,102616
CZBZ,14132600.058914557,47,102236
SSH,12919933.725993702,37,91621
NCT,11883807.17489126,42,86231
WP,11581365.789788231,50,80872
LXW,11484266.372370856,6,81094
BEEHVE,10429772.697133444,43,77959
FFS,10275892.871879967,50,75191
S0RC,8402997.450638175,42,59112
TCHR,7183893.731048325,33,54237
NZV,6612942.681587961,43,42757
CR7LEG,6398399.664368064,11,36364
CHONT,6302425.149089097,5,39453
LEGNDS,5791280.118587938,43,42024
WD5,5676195.407915986,28,40851
COMP5,5651663.849961895,35,40434
RFTP,5523121.183094882,35,44917
NVSEAL,5455925.308507101,47,41405
QC,5430704.23482759,2,40135
TFV,5414390.707055362,37,36367
NTO,5332112.0593554815,50,41757
DIV1,5221665.0903881695,37,36041
LOVGOD,5089639.177317114,37,36219
4CU,5086599.030006086,35,30782
FASZ,5027371.154012088,21,36010
TVM,4891037.935021549,35,35769
0CE8N,4824824.203541608,47,37291
NXC,4729005.51790417,33,31602
42712,4601300.452821733,34,34537
RI5E,4303233.370288448,47,32840
DKC,4276587.339706458,34,33274
FTHM,4205783.04389432,47,31131
ZTAGZ,4116921.310542437,39,28385
AMPX,4006180.973124557,44,30545
RZ,3847692.3799928,42,30450
WPMWPM,3764063.7678827527,24,30373
LLJ4R,3721114.9678942845,29,30677
ZH,3711246.04760053,46,27264
ERC,3583796.5440876214,24,24806
USAAT,3471205.0506543703,44,27033
VG,3462136.412705112,43,25151
DLX,3315193.9931609733,47,27338
NTPTS,3284620.4481628756,46,25335
L3JENS,3275595.1102192444,10,22131
NHS,3243265.1477935724,49,25356
190IQ,3233882.688702284,5,23098
MMM0,3150605.213304049,19,18420
NTP444,3146205.2387931407,47,25750
BKYS,3105649.246102164,38,23038
MEYBO,3051098.4168459536,27,21934
NS7,3021803.420447629,44,22312
HFE,2901127.505836442,20,19493
F0J,2865401.666307444,37,21048
RL,2850693.7400779496,28,20783
A3,2848789.642268864,17,20910
HYP3Z,2783940.751770574,44,22934
T3X5,2777539.509876943,13,19506
SAIL,2749414.806923556,39,21868
FAM3,2704707.193800987,31,21212
T0WER,2681779.247090476,40,17887
50I,2625736.4744890425,28,19043
CAT4,2605007.9987172503,45,22188
ZSH,2571555.5051660505,38,21214
XLUVX,2561657.9370508036,45,20248
HELIUM,2560323.3615202773,44,21485
AL3,2508392.47252008,30,19055
TWO,2467709.6561319446,33,17418
BRAVE,2432760.3641054197,41,18388
FERAL,2427234.527656802,42,18119
1STRED,2397547.217537298,43,18867
C0NQUE,2376866.309417613,31,17334
P20W,2275882.6935729575,48,16267
OVCR,2234887.6169650527,22,19298
BEGO0D,2162120.135364505,47,16277
RL1,2142894.641079341,42,15553
EXTRME,2107104.0254357825,39,14015
4EP,2089707.495505158,39,16053
LE4GUE,2015354.0547273206,42,16092
GLXM,1987321.604593865,6,13337
RVNT,1972791.0928905266,17,16580
VTU,1967880.662087445,38,13898
NGREEN,1955969.1057039162,39,15724
DDFR,1867713.5734529023,28,12150
SSNAKS,1827491.8485065415,48,15296
911000,1823757.1093839395,36,14882
DUCCK,1796918.3752288201,47,13828
ASPN,1793950.4736830397,37,14834
R1F,1776097.229489257,14,11844
BPR,1772050.1794521718,35,13043
XMVP,1768218.3934883622,40,14091
LTC,1765308.0189632585,23,11325
TRUST,1718151.9809075412,25,13113
ALFJ,1677966.6650078413,42,13601
ZER0SE,1665052.1536731496,49,12287
SZM,1610505.849175963,44,13993
TNGN,1601177.8056773169,45,11293
B0MBA,1580751.9534218335,28,11230
H0LY,1578793.8385223546,30,11714
ESTER,1537687.0385670345,28,11431
FS1,1514153.1695475604,42,11054
PRETZE,1507001.4537518518,26,11913
SNTL,1450112.2918304491,30,10190
D4RKER,1387959.3395100327,30,9992
FTINT,1349467.7474255906,31,8757
