Username,ProfileLink,DisplayName,Title,CarID,CarHueAngle,Speed,Races,Points,Accuracy,Team
lenatheplugz,https://www.nitrotype.com/racer/lenatheplugz,Exhausted and Tired,404 Not Found,127,100,105.08358576254503,25261,3686335.362443586,95.66552452271293,BKYS
ilikedufibxx,https://www.nitrotype.com/racer/ilikedufibxx,dufibb,Big Spender,77,0,101.25943929012494,25144,3645690.75911279,96.25754735357813,TVX
nincalebgamez,https://www.nitrotype.com/racer/nincalebgamez,⚡Nincaleb⚡,PAC Contender,78,0,88.18366383982655,24754,3482142.9335390227,97.62517928618718,NTA4
nxtfiregaming,https://www.nitrotype.com/racer/nxtfiregaming,Daisyyy QT,Encore,105,320,88.85263530943766,22874,3200236.3235363495,96.87095807596737,SPRME
gabrielm6478,https://www.nitrotype.com/racer/gabrielm6478,NT Pollo,All Night Racer,254,320,82.04943056943057,22544,3089697.6697287285,97.1828828605061,NTY
aydeniscool321,https://www.nitrotype.com/racer/aydeniscool321,DashZL,I Have Fans!,273,160,114.83876580085914,19501,2899944.48511624,94.46579769055124,ZL
ttv_itscambria,https://www.nitrotype.com/racer/ttv_itscambria,ttv_itsCambria 20k,Keyboard Cat,77,180,76.73061900482158,21452,2859185.0695292675,96.32682816580677,IR
unrealmaterialism,https://www.nitrotype.com/racer/unrealmaterialism,Zranci,Problem Solver,77,280,120.52687822329601,17747,2732882.1474546553,96.08630573774555,SPRME
chill233,https://www.nitrotype.com/racer/chill233,gold 4 me 2 join,Mystery Man,77,280,85.33554410257769,19770,2683922.8639002517,95.15628568367359,ZL
monsterslayr,https://www.nitrotype.com/racer/monsterslayr,Ntc gift sender,A E S T H E T I C,349,100,81.65878761546318,19774,2666245.1680899346,95.74414862933409,QC
fritter17,https://www.nitrotype.com/racer/fritter17,Swifty_YT,Spring-a-round,107,240,102.57164417415004,18525,2619138.50702019,93.45488759645374,TVX
barfbr01,https://www.nitrotype.com/racer/barfbr01,Lucky Doves,Lord of the Practice,77,260,87.62156717085485,19264,2597549.8852799893,93.76180830057947,NCT
25tsmith6,https://www.nitrotype.com/racer/25tsmith6,x2                                                ,Hallowampus Fanclub,328,0,97.33556434821445,18077,2541067.8202711153,94.5525042375587,ZL
drey2000,https://www.nitrotype.com/racer/drey2000,KeyStorm,Mega Winner,106,0,100.46935966033887,16924,2438732.317963818,95.91596954350916,ECS
monster_77,https://www.nitrotype.com/racer/monster_77,3NightsAtTheMotel,"Peace, Love, Nitros",77,0,99.02382866180933,17443,2433560.69667042,93.31365480229124,TVX
