Team,TotalPoints,Racers,Races
SPRME,46311690.68244958,45,323184
P1RE,23979752.318526864,40,175163
TVX,23141001.05232578,45,166835
PR2W,20799329.87953938,50,146554
N8TE,18896864.553102806,47,133834
IR,18062993.512115907,47,134039
CAM0,17994650.596368574,49,126968
PSR,15284326.42294454,48,111462
NTPD1,15087603.089792466,46,110052
CZBZ,15003530.451953538,47,108834
SSH,13542887.413348708,37,95944
WP,12659436.505988935,48,88753
NCT,12046360.53841272,46,87521
LXW,11484266.372370856,6,81094
BEEHVE,10979612.821662871,43,82052
S0RC,8806380.654274581,41,62084
TCHR,7433641.736174775,36,56214
CHONT,6304085.326912457,5,39466
LEGNDS,5991006.629662562,40,43554
DIV1,5816040.54235379,35,39960
RFTP,5720740.443132388,37,46582
NTO,5568463.264814688,49,43540
LOVGOD,5244547.689966104,37,37357
FASZ,5136070.437464016,21,36838
4CU,5092315.372370151,32,30832
TVM,5038273.119473119,35,36749
42712,4929381.023078343,36,37061
RI5E,4453814.22821727,46,33998
ZTAGZ,4168466.0097680944,38,28775
AMPX,4118332.7088408843,45,31434
RZ,4095275.1231459253,42,32069
ZH,4088301.3867812543,45,30023
VG,3793674.8532216074,44,27543
WPMWPM,3779504.8257478024,25,30502
LLJ4R,3768098.689513523,29,31087
ERC,3596286.9152435013,24,24892
DLX,3341798.669381846,47,27557
NTP444,3315496.6301019215,48,27130
NHS,3298391.6012836914,48,25781
MEYBO,3242402.1775636952,26,23156
190IQ,3239230.809126922,4,23139
T3X5,3223347.2680480783,14,22772
RL,3158814.130218764,10,23082
NS7,3140118.153065009,45,23183
A3,3033254.8572078045,24,22189
HFE,2914768.9536707373,20,19596
F0J,2905075.3935369267,36,21371
SAIL,2833597.9892399823,39,22532
FAM3,2832448.04482549,33,22168
T0WER,2725339.555452864,40,18173
HELIUM,2709524.565361696,46,22715
ZSH,2699520.776144406,40,22230
AL3,2671414.261751538,29,20227
50I,2667421.7158519924,26,19383
1STRED,2540876.344694361,41,20054
BRAVE,2496704.2861521333,41,18884
TWO,2482558.5473802253,33,17525
FERAL,2466120.309922206,41,18428
OVCR,2256187.00202356,20,19475
RL1,2245304.15924037,40,16287
EXTRME,2189337.3662567274,37,14617
4EP,2100449.5719927456,39,16143
NGREEN,2075260.0085279767,39,16593
LE4GUE,2062750.2457543393,42,16475
RVNT,2008346.635055343,17,16870
SSNAKS,1889733.3161125488,49,15829
XMVP,1859884.2497382658,43,14822
ASPN,1836739.642208253,37,15194
LTC,1777507.2748862344,23,11416
TRUST,1758607.6356810648,24,13395
ALFJ,1755247.4651052563,43,14248
ZER0SE,1745631.878550996,49,12877
SZM,1664304.7982148093,47,14408
TNGN,1625075.1674799547,43,11466
ESTER,1615846.9900422285,31,12004
B0MBA,1614185.1371690945,32,11511
SNTL,1522982.8492270361,31,10687
D4RKER,1436926.8943801632,30,10321
BAYLOR,1405512.2842072747,31,12348
ST0RM,1328653.5846841768,11,9718
WTRMN,1323640.311834757,35,9602
AL0N3D,1199752.640798582,40,9125
