Team,TotalPoints,Racers,Races
SPRME,40426639.25557478,49,281316
P1RE,22428293.422688406,47,163579
TVX,21715148.625796217,50,156516
RR,18673630.00755665,28,127168
PR2W,17948313.94489835,49,126866
ECS,17844802.373828717,22,121546
N8TE,16503242.148343649,45,117609
CAM0,15624005.08053865,50,110080
ZL,14717446.563728245,39,104610
IR,14225183.150856651,48,105808
NTPD1,13777993.93112215,48,100337
PSR,13626899.458182523,44,99550
CZBZ,13400255.336637286,47,96766
TXT,13012454.099251065,49,93255
SSH,12200668.684016857,38,86693
NCT,11618712.352896158,46,84262
LXW,11329546.904778264,48,79876
WP,11097264.212346204,50,77395
BEEHVE,9783148.868661208,40,73106
FFS,9693493.463614114,48,70900
S0RC,7935413.4563172,46,55664
TCHR,6885206.204755697,27,51833
CHONT,6295346.7825038675,6,39392
NZV,6098316.949048984,43,39295
CR7LEG,5857470.400466768,12,33360
LEGNDS,5442821.042104616,48,39203
QC,5421229.907632948,2,40064
COMP5,5364968.683393895,32,38409
RFTP,5222970.254456452,33,42624
TFV,5098533.132456063,33,34266
WD5,5096879.89117296,21,36641
4CU,5065654.633730458,38,30602
NTO,5049212.397649089,43,39603
NVSEAL,5012430.607462528,47,37973
FASZ,4933171.15093844,22,35368
DIV1,4758059.485495087,45,32885
LOVGOD,4726285.84416934,38,33785
TVM,4629564.678210293,38,33871
0CE8N,4541896.153578486,45,34990
NXC,4099354.546523054,27,27435
42712,4095248.6909100134,32,30651
DKC,4041815.087627828,47,31406
ZTAGZ,4025285.5171680856,40,27653
RI5E,4012056.9844773947,48,30556
WPMWPM,3691196.888099065,28,29767
AMPX,3683164.8306465875,46,28085
RZ,3677018.0446271035,50,29149
FTHM,3650160.1545789344,41,26887
LLJ4R,3617151.2417892776,36,29789
ERC,3546187.2293646927,23,24556
ZH,3341855.866642771,39,24627
190IQ,3227617.7303032186,4,23050
USAAT,3170438.951512903,39,24626
DLX,3167107.4335159357,45,26109
NHS,3052607.629666786,50,23877
VG,2991027.6732970984,38,21892
NTP444,2943241.887026619,34,24082
MEYBO,2938444.345435557,27,21141
L3JENS,2854012.3101742133,11,19213
HFE,2851205.4109027795,20,19108
MMM0,2829962.285044085,24,16318
NTPTS,2817271.6991757215,42,21379
NS7,2798958.8371713515,41,20643
F0J,2729132.0663435906,38,19972
VKS,2684540.817563424,40,20242
T3X5,2659801.883104458,30,18639
DANATK,2617653.628128205,47,22174
SAIL,2600793.888723471,41,20699
T0WER,2600667.7682068422,39,17337
HYP3Z,2573025.4317865665,50,21256
50I,2516954.1958131604,31,18196
RL,2499827.8490880257,34,18186
FAM3,2496085.1030564937,30,19594
A3,2479455.572635898,24,18238
TWO,2434102.3998401375,32,17177
BKYS,2427599.8921691296,33,17994
BE3ST1,2421709.9517870164,44,19906
ZSH,2375070.135408676,38,19638
FERAL,2356714.8210112765,45,17547
XLUVX,2330135.0217341506,44,18249
AL3,2306864.2205328983,32,17531
HELIUM,2222894.3882509437,48,18714
CAT4,2220914.546175738,45,18966
1STRED,2210898.079494551,44,17347
C0NQUE,2208008.248433553,34,16056
BRAVE,2189699.7329791547,35,16614
OVCR,2158330.9403106268,31,18645
P20W,2053084.3881795995,49,14684
EXTRME,1979992.4269970825,38,13061
GLXM,1951666.347401798,6,13091
4EP,1905148.0497781702,41,14438
RVNT,1891484.0080661937,19,15897
BEGO0D,1888110.9477122165,47,14131
RL1,1822330.1810450798,43,13208
LE4GUE,1814119.809992568,44,14430
DDFR,1779391.2838322842,28,11502
911000,1750337.7001855718,36,14302
R1F,1747493.6345256094,15,11600
ASPN,1719316.048072208,38,14217
LTC,1718273.827185859,26,10946
NGREEN,1715512.8177235494,37,13867
SSNAKS,1687532.0592995998,47,14072
VTU,1636517.4463897303,23,11488
TRUST,1618731.026623659,24,12421
BPR,1602768.783144741,31,11692
DUCCK,1595233.281805314,49,12278
XMVP,1565245.3003162183,36,12486
TNGN,1538947.8999769613,43,10825
SZM,1532657.0422111596,45,13270
ZER0SE,1530627.9813733876,49,11241
B0MBA,1529833.3252319775,35,10782
