Username,ProfileLink,DisplayName,Title,CarID,CarHueAngle,Speed,Races,Points,Accuracy,Team
lenatheplugz,https://www.nitrotype.com/racer/lenatheplugz,Shinobu Kocho,Encore,78,260,96.54987270181729,40779,5762856.863833687,95.30891267081495,SPRME
nincalebgamez,https://www.nitrotype.com/racer/nincalebgamez,⚡Nincaleb⚡,PAC Contender,75,160,89.16368180027273,32060,4525470.2503618095,97.63070965555029,P1RE
jxsh0427,https://www.nitrotype.com/racer/jxsh0427,RMS Jxsh,Hot Hot Hot!,379,0,98.38462205408072,32724,4326086.155236112,88.6099188778258,42712
deperst2,https://www.nitrotype.com/racer/deperst2,StylishPurpleBadger,Number Cruncher,89,60,94.90363187804549,30491,4318285.306480399,96.04826828307961,SPRME
unrealmaterialism,https://www.nitrotype.com/racer/unrealmaterialism,Zranci,Problem Solver,77,280,118.81455662899118,28007,4271278.412137075,95.67162321959205,NBX
nevercaredlol,https://www.nitrotype.com/racer/nevercaredlol,com boy,404 Not Found,78,180,84.83656634704683,31331,4254639.717297565,95.35045882779023,NVSEAL
smalltownfame,https://www.nitrotype.com/racer/smalltownfame,summrs,California Dreamin',77,200,102.2009913540785,28382,4128893.8927258113,96.27750728821887,TVX
godlypropaco,https://www.nitrotype.com/racer/godlypropaco,Nitro PACO,Keyboard Cat,234,0,167.61069196848422,22225,4082850.964969222,99.94558606205185,CR7LEG
darkiexgold,https://www.nitrotype.com/racer/darkiexgold,-2025-,League Champion,306,0,99.95947678462196,27795,3949959.321114592,94.75308372894973,SPRME
internetgoneviral,https://www.nitrotype.com/racer/internetgoneviral,- DBP -,Yo,203,100,107.08979397296739,26293,3881219.21237201,96.13746000891145,DBP
weslanea,https://www.nitrotype.com/racer/weslanea,truly broken 100k,Keyboard Smasher,105,260,95.58193122826304,26537,3758155.507640215,95.82416323860674,SPRME
jesustake_the_wheel,https://www.nitrotype.com/racer/jesustake_the_wheel,DylanJ 406k,Operation: Typing,166,20,96.09791448872195,25916,3633291.5293955915,94.694972488134,P1RE
billy33,https://www.nitrotype.com/racer/billy33,,On Thin Ice,177,120,57.10853238863549,27638,3511443.873509479,98.83087147331716,N8TE
monster_77,https://www.nitrotype.com/racer/monster_77,3NightsAtTheMotel,"Peace, Love, Nitros",77,200,99.82819256624327,24446,3434276.321341492,93.70978835030466,TVX
ttv_itscambria,https://www.nitrotype.com/racer/ttv_itscambria,ttv_itsCambria 26k,Keyboard Cat,316,180,77.01616522619572,25518,3398716.499047631,96.15971984908408,IR
fritter17,https://www.nitrotype.com/racer/fritter17,Swifty_YT,Spring-a-round,107,280,102.70762446394662,23247,3289784.782828201,93.49905200576816,TVX
34vela,https://www.nitrotype.com/racer/34vela,34 vela,Solid Gold,106,0,119.70071227672865,20910,3188003.8532267977,95.37865560890441,SPRME
guccisnowflake1,https://www.nitrotype.com/racer/guccisnowflake1,Hala Madrid,League Champion,371,0,113.89951216618971,20901,3122750.603568984,95.19400320015747,VG
bobthebuilder120822,https://www.nitrotype.com/racer/bobthebuilder120822,SwiftPanda,Keyboard Cat,77,0,84.82236122880671,23157,3081308.437495984,93.43482804788431,TVX
77uu,https://www.nitrotype.com/racer/77uu,SlimJimPingu,Lord of the Practice,155,0,116.95808783261543,19799,2894828.877728474,92.25879930055105,SSH
physicstyper,https://www.nitrotype.com/racer/physicstyper,TRIPZILLA,Boo!,98,0,135.3153815177998,17499,2853846.8462955737,97.27336761192419,WD5
redragon999,https://www.nitrotype.com/racer/redragon999,MightyRedHorse,Shattered,207,200,139.9605993225411,16879,2809054.8522976777,97.90726435244274,TXT
fb806a1ca1f4ee5741e9971d4f316ca7,https://www.nitrotype.com/racer/fb806a1ca1f4ee5741e9971d4f316ca7,AllMight,Titan of the Track,346,40,107.84946386739207,18314,2738667.4678907893,97.15109213942634,SPRME
m3tro_alt,https://www.nitrotype.com/racer/m3tro_alt,20mIJoinUrTeam,:D,68,0,100.70605707272169,18565,2673350.4083475526,95.77424861298428,NZV
givemegoldasap,https://www.nitrotype.com/racer/givemegoldasap,El1te Stxr,Galactic Guardian,50,240,119.29507020690258,16987,2547344.1392754284,93.93095039514087,SPRME
gyguimbuiltdifferent,https://www.nitrotype.com/racer/gyguimbuiltdifferent,Steven P YT Live,wow. such gifting,153,0,94.9615155071249,17752,2543799.7238578647,97.16285473142833,SPRME
razitsu,https://www.nitrotype.com/racer/razitsu,razitsu,Endurance Racer,77,220,73.25090456582822,18602,2446947.3848258043,96.2794007230459,BKYS
notmegan13,https://www.nitrotype.com/racer/notmegan13,Not Megan,Keyboard Cat,198,300,54.906521225486344,19666,2353052.127829395,93.87815874417502,NTPD1
racer2395,https://www.nitrotype.com/racer/racer2395,Mamba Typer,Epic Engager,77,0,133.96667337647835,14008,2305713.05918303,98.5725499417332,PR2W
9649802,https://www.nitrotype.com/racer/9649802,Epitome,Rocky,68,0,84.59653012248941,16246,2195588.2341095787,94.97402434548769,N8TE
numba9000,https://www.nitrotype.com/racer/numba9000,Potato Dog,404 Not Found,77,0,88.13425331388896,16041,2150464.2950696335,93.05418352616384,SPRME
a4ebe577d455c102ed6ef8620230c4d9,https://www.nitrotype.com/racer/a4ebe577d455c102ed6ef8620230c4d9,Silis types slow fr,League Champion,310,0,113.85415444770283,13839,2148338.3080820064,98.9236374799804,N8TE
fazzedd,https://www.nitrotype.com/racer/fazzedd,ll fazed ll,Spring-a-round,99,0,76.30468067150908,15764,2131388.423664279,97.86737280252541,IR
pupho101,https://www.nitrotype.com/racer/pupho101,IndependentIndigoPheasant,Keyboard Cat,188,0,168.26976858863725,12240,2100660.1534671504,93.20480593099056,CAM0
aesthetic_fishe,https://www.nitrotype.com/racer/aesthetic_fishe,F 1 S H 20k -_-,May The 4th Be With You,77,0,98.01667064925573,14078,2090236.4339205127,99.64233350542075,CAM0
rebelles,https://www.nitrotype.com/racer/rebelles,goofykid 20k,Drift King,77,0,93.9849215889388,13453,1890660.1501176236,95.60910833386379,LXW
swaggyguy229,https://www.nitrotype.com/racer/swaggyguy229,Brian 20k,Legendary Lapper,209,0,131.94397586381555,11925,1885489.1375132233,95.26444710156683,LXW
a4b32c36e1b8e965b34637174d0ef4a5,https://www.nitrotype.com/racer/a4b32c36e1b8e965b34637174d0ef4a5,Abstr4ct,Problem Solver,219,60,93.99359029352289,13005,1874066.9413629335,98.03177742425197,TXT
p_l_a_y_e_r_1,https://www.nitrotype.com/racer/p_l_a_y_e_r_1,P_L_A_Y_E_R_1_,League Champion,331,0,88.49595200806944,13180,1864178.567552058,98.05333560494171,CZBZ
f98269bc62940a03c08127de89d2c122,https://www.nitrotype.com/racer/f98269bc62940a03c08127de89d2c122,AustinS,Broadcaster,371,60,117.43070462545545,12691,1856981.3156550406,92.19189722266309,FFS
adventx11,https://www.nitrotype.com/racer/adventx11,GIVENTGOLDIGIVE20MIL,Nitro Rich,241,320,122.83243074461132,11595,1846941.8938595494,98.68140381225773,ZTAGZ
53623_nightmare,https://www.nitrotype.com/racer/53623_nightmare,-10k Nightmare- ,Pro Pacer,332,0,127.88161031254796,11080,1814931.2900507252,99.91561456882309,L3JENS
jboigifted,https://www.nitrotype.com/racer/jboigifted,who making money,League Champion,371,120,66.28149641738379,15558,1794603.4268433908,86.63706520919222,CZBZ
herovision,https://www.nitrotype.com/racer/herovision,Kairos,Nitro Rich,371,280,66.01489015719159,14321,1787014.2478834027,93.81639035463733,IR
gr33nbalin3,https://www.nitrotype.com/racer/gr33nbalin3,NitroTypeTyipst,Nitro Rich,316,0,73.89084173448317,12966,1744137.5224099308,98.22616604801927,CZBZ
radiating_73,https://www.nitrotype.com/racer/radiating_73,Radiant73 YT,2icy4u,77,180,99.96728346287486,11989,1734313.3548082619,96.44966281281538,PR2W
emacisgoofy,https://www.nitrotype.com/racer/emacisgoofy,Emacisgoofy,Millionaire,51,0,130.0654566809198,10482,1729871.886893401,99.99993227414613,DIV1
heroyo,https://www.nitrotype.com/racer/heroyo,Vortex,Nitro Rich,371,340,68.70278386378983,13287,1692530.4834497261,94.8128920786551,TXT
karson_cupples1234,https://www.nitrotype.com/racer/karson_cupples1234,-Karson_Cupples-,Nitro Rich,306,0,97.32575152024123,11396,1662390.282444856,98.12462755988255,FFS
loganthegoat9999,https://www.nitrotype.com/racer/loganthegoat9999,loganbogan3939,Keyboard Cat,68,0,153.53108303619234,10009,1658541.793501134,93.74284342224061,IR
60e31b3e464f583b3e8373c7e9adbdb9,https://www.nitrotype.com/racer/60e31b3e464f583b3e8373c7e9adbdb9,ifiget1000trcanhavg,Burnin' Rubber,58,160,104.3603544101011,11039,1643037.3815268842,97.80467754282563,L3JENS
04d05f78b8fbf05e6bc6849ec6332114,https://www.nitrotype.com/racer/04d05f78b8fbf05e6bc6849ec6332114,A E S T H E T I C S,Turbo Typist,306,0,169.83328917938806,8880,1641743.8630451201,99.9807594759581,CR7LEG
