Team,TotalPoints,Racers,Races
SPRME,49320306.18340476,48,345948
TVX,24701824.525918517,48,178139
P1RE,24689530.66314005,37,180603
PR2W,22206015.129010975,47,156277
N8TE,20504256.88225159,45,144787
ZL,20376884.773454007,29,146365
IR,20316530.827727165,43,150837
CAM0,19869380.071749352,49,139924
RR,19372107.69273305,33,132174
TXT,17480676.54385854,47,125854
PSR,16171125.071924562,46,117669
CZBZ,16131099.391906468,46,117350
NTPD1,15753308.803161021,50,115041
SSH,14628019.678101208,39,103448
WP,13732896.437337473,50,96905
NCT,12359863.030703925,46,89922
BEEHVE,12060909.51199998,50,90096
LXW,11503274.771615883,6,81215
FFS,11378296.083213728,47,83435
S0RC,9300689.671654878,39,65640
NVSEAL,7891956.888311568,47,58641
TCHR,7839833.126199985,42,59424
NZV,7571978.437014514,43,49136
CR7LEG,7473447.365336753,13,42348
WD5,7403604.843390347,28,53360
LEGNDS,6354186.7994575845,46,46422
CHONT,6309806.768282143,4,39515
DIV1,6270046.652865968,28,42934
COMP5,6059779.803268364,41,43417
TFV,6057644.923968063,39,40828
NXC,5979524.295223898,31,40122
RFTP,5912922.770314101,39,48210
NTO,5900042.649764218,50,46125
QC,5826685.950126433,1,43107
LOVGOD,5584179.247072298,39,39659
42712,5450163.378869983,38,41062
TVM,5243538.104731419,32,38324
0CE8N,5198184.846871569,50,40416
FASZ,5178353.0249812,21,37136
4CU,5103836.584303901,32,30929
FTHM,4827319.125168135,22,35929
DKC,4730400.671555872,29,36876
RI5E,4726092.678487271,47,36150
ZH,4636797.028748379,44,34122
VG,4576475.648843867,43,32929
ZTAGZ,4360236.410714211,36,30220
AMPX,4323173.40100598,43,33050
RZ,4292496.2110483525,47,33755
BKYS,4244211.780747179,40,31807
L3JENS,4053756.8088929392,12,27591
USAAT,3967281.4018972483,42,30961
WPMWPM,3889143.6672016494,25,31433
ERC,3849707.943173136,28,26583
LLJ4R,3842721.690596287,27,31759
NTPTS,3829253.110680358,49,29631
NTP444,3536968.0943100024,45,29022
MEYBO,3535438.8131855126,21,25159
T3X5,3513416.5587946856,17,24894
DLX,3470772.008597867,44,28638
MMM0,3452898.643277629,20,20280
