Username,ProfileLink,DisplayName,Title,CarID,CarHueAngle,Speed,Races,Points,Accuracy,Team
lenatheplugz,https://www.nitrotype.com/racer/lenatheplugz,IBD Da Appreciated,Endurance Racer,316,0,104.56040510160278,31083,4523902.06280997,95.57555313935609,SPRME
gabrielm6478,https://www.nitrotype.com/racer/gabrielm6478,NT Pollo,All Night Racer,356,60,82.79124505283772,29462,4042042.9523673058,97.02926345611684,CAM0
nincalebgamez,https://www.nitrotype.com/racer/nincalebgamez,⚡Nincaleb⚡,PAC Contender,208,0,87.94349711747729,27537,3871538.506699682,97.65391955146441,P1RE
nxtfiregaming,https://www.nitrotype.com/racer/nxtfiregaming,Daisyyy QT,Encore,105,300,87.85626390132587,27298,3806017.516151231,96.87110741368251,SPRME
ilikedufibxx,https://www.nitrotype.com/racer/ilikedufibxx,dufibb,Big Spender,77,0,101.25766001207084,25145,3645806.917823615,96.25735459170785,TVX
weslanea,https://www.nitrotype.com/racer/weslanea,truly broken 95k,Keyboard Smasher,316,280,96.92067255687572,22569,3212113.292458011,95.86677066614668,SPRME
unrealmaterialism,https://www.nitrotype.com/racer/unrealmaterialism,Zranci,Problem Solver,77,280,121.40143048206082,20226,3118069.4015433467,95.9307776005101,SPRME
deperst2,https://www.nitrotype.com/racer/deperst2,RainbowSyro WEIRD,Raw Racing Recruit,89,260,101.91642240956315,20268,2966548.187448183,96.95802726876931,SPRME
barfbr01,https://www.nitrotype.com/racer/barfbr01,Lucky Doves,Lord of the Practice,77,260,88.03839113032507,21710,2937884.3831437775,93.96248553864834,NCT
fritter17,https://www.nitrotype.com/racer/fritter17,Swifty_YT,Spring-a-round,107,300,102.59099195006709,20652,2921580.6846881523,93.50390934757212,TVX
monster_77,https://www.nitrotype.com/racer/monster_77,3NightsAtTheMotel,"Peace, Love, Nitros",77,0,99.35703589145979,20738,2899985.4666597694,93.42637041597034,TVX
bobthebuilder120822,https://www.nitrotype.com/racer/bobthebuilder120822,SwiftPanda,Keyboard Cat,77,20,84.40443523924576,21156,2807813.4882051973,93.33151776764883,TVX
smalltownfame,https://www.nitrotype.com/racer/smalltownfame,summrs,Hot Hot Hot!,68,140,100.93839518530878,19355,2807221.4059348856,96.39086690547335,TVX
jesustake_the_wheel,https://www.nitrotype.com/racer/jesustake_the_wheel,DylanJ 400k,Operation: Typing,166,20,96.07240676532604,19551,2740531.493635971,94.68864092650874,P1RE
billy33,https://www.nitrotype.com/racer/billy33,,On Thin Ice,177,120,57.16208644685355,20735,2633782.783854882,98.78681187785854,N8TE
givemegoldasap,https://www.nitrotype.com/racer/givemegoldasap,El1te Stxr,Galactic Guardian,86,200,119.24063471290691,16367,2454879.964856851,93.96649097246421,NCT
givemedarewards,https://www.nitrotype.com/racer/givemedarewards,existence,404 Not Found,105,0,126.15984564635589,14710,2293828.304742234,95.61977940476511,SPRME
34vela,https://www.nitrotype.com/racer/34vela,34 vela,Solid Gold,316,220,120.33691226048568,14906,2287458.576165757,95.81094678782834,SPRME
070716f8e5153f91fa44db65db76c844,https://www.nitrotype.com/racer/070716f8e5153f91fa44db65db76c844,Abadger,Nitro Rich,316,0,169.18511236293892,12601,2248919.352828778,96.68401706449235,N8TE
77uu,https://www.nitrotype.com/racer/77uu,SlimJimPingu,Lord of the Practice,155,0,116.87425748575585,15250,2220420.4253199487,91.89849659642209,SSH
redragon999,https://www.nitrotype.com/racer/redragon999,goldplz,Shattered,324,320,140.48814147770423,12516,2086278.6507524026,97.91173901450752,CAM0
notmegan13,https://www.nitrotype.com/racer/notmegan13,Not Megan,Keyboard Cat,33,320,54.22335283159906,16305,1946219.3636336734,93.90431296431089,NTPD1
lacanenjoyer,https://www.nitrotype.com/racer/lacanenjoyer,-Pearl_Games-,Drift Queen,330,280,100.18994002303354,13204,1901303.3526812328,95.93559202646428,PSR
adventx11,https://www.nitrotype.com/racer/adventx11,GIVENTGOLDIGIVE20MIL,Nitro Rich,241,320,122.83243074461132,11595,1846941.8938595494,98.68140381225773,ZTAGZ
a4ebe577d455c102ed6ef8620230c4d9,https://www.nitrotype.com/racer/a4ebe577d455c102ed6ef8620230c4d9,Silis carpal tunnel,League Champion,164,0,114.86645563325456,11460,1786709.6722008877,99.03141193369002,N8TE
rebelles,https://www.nitrotype.com/racer/rebelles,goofykid 20k,Drift King,77,0,93.65107764911939,12222,1714970.822907537,95.56807825636002,LXW
nebulain,https://www.nitrotype.com/racer/nebulain,My fingers hurt,Keyboard Cat,316,100,83.81236182233896,12067,1655142.5792640282,96.657328234396,SPRME
swaggyguy229,https://www.nitrotype.com/racer/swaggyguy229,Join LXW 4 Cash,Legendary Lapper,134,0,131.52481902792138,10426,1642248.97179591,95.02441990441707,LXW
racer2395,https://www.nitrotype.com/racer/racer2395,Mamba Typer,Champion Chaser,77,0,134.27631782622674,9724,1603056.6960365167,98.63437985947947,PR2W
fb806a1ca1f4ee5741e9971d4f316ca7,https://www.nitrotype.com/racer/fb806a1ca1f4ee5741e9971d4f316ca7,AllMight,Titan of the Track,346,40,103.9100140647988,10741,1583296.9549813485,97.00690417241321,SPRME
quwenley,https://www.nitrotype.com/racer/quwenley,YT quwenley,404 Not Found,379,0,78.74632147004576,11340,1544247.6192032993,97.70678803026526,N8TE
charmtooth,https://www.nitrotype.com/racer/charmtooth,rtx 5070 ti,Holiday Hacker,70,180,91.60003380234082,10658,1475210.3630631664,94.93375610845159,LXW
mycowz,https://www.nitrotype.com/racer/mycowz,UsernameModerated,Shattered,266,260,95.71244886031562,10057,1452893.9317077245,97.70703795851597,CAM0
glorious_gaming1,https://www.nitrotype.com/racer/glorious_gaming1,daLEGND,NITRO.EXE,371,40,96.13471410726518,9712,1399787.743212012,97.34063796119601,LEGNDS
9649802,https://www.nitrotype.com/racer/9649802,Epitome,Rocky,338,80,81.86497480818834,10271,1387513.215595433,95.85467123586564,N8TE
gimmickfps,https://www.nitrotype.com/racer/gimmickfps,Governor,2icy4u,198,0,93.7088405952607,9366,1343973.2732883403,97.71234939201912,FASZ
nateb3a,https://www.nitrotype.com/racer/nateb3a,Flower,League Champion,111,0,98.95256144355626,9184,1299659.3787384566,94.67283599294718,TWO
glombara,https://www.nitrotype.com/racer/glombara,kardinal,League Champion,371,260,89.6800914730103,9576,1297841.1129507946,93.57260861985968,SSH
emacisgoofy,https://www.nitrotype.com/racer/emacisgoofy,Emacisgoofy,Millionaire,51,0,129.7455457265448,7683,1266716.3435139004,99.99990760413361,DIV1
153489,https://www.nitrotype.com/racer/153489,Swimming Pools,For the Win!,129,20,114.29143709933264,8244,1261227.799369145,97.35382028860965,SPRME
kingfortnit3,https://www.nitrotype.com/racer/kingfortnit3,D1N0-M1T3,League Champion,203,0,80.4020366810412,9029,1250982.2321169805,98.82352028887921,MEYBO
